KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Depreciation,,19,21,21,21,25,30,119,100,105,96,106,GLENMARK,Income_Statement
Profit before tax,,246,121,251,284,380,502,1232,1747,2553,1143,1952,GLENMARK,Income_Statement
Tax %,,11%,-6%,15%,7%,-2%,14%,18%,15%,16%,11%,17%,GLENMARK,Income_Statement
Net Profit,,218,128,212,265,386,434,1008,1484,2141,1014,1622,GLENMARK,Income_Statement
EPS in Rs,,8.7,4.76,7.85,9.81,14.25,15.99,37.14,52.6,75.86,35.95,57.49,GLENMARK,Income_Statement
Dividend Payout %,,5%,8%,5%,20%,14%,12%,5%,4%,3%,6%,3%,GLENMARK,Income_Statement
Share Capital,,25,27,27,27,27,27,27,28,28,28,28,GLENMARK,Balance_Sheet
Reserves,,1205,1746,1953,2159,2496,2879,4925,7338,9408,10363,11914,GLENMARK,Balance_Sheet
Borrowings,,1066,760,1143,489,581,353,410,787,2777,2981,3134,GLENMARK,Balance_Sheet
Other Liabilities,,272,234,251,494,782,970,2289,1960,1787,1892,2066,GLENMARK,Balance_Sheet
Total Liabilities,,2567,2767,3374,3169,3886,4230,7651,10113,14001,15265,17143,GLENMARK,Balance_Sheet
Fixed Assets,,173,190,224,224,276,449,1231,1438,1596,1699,1413,GLENMARK,Balance_Sheet
CWIP,,32,47,34,69,172,83,294,276,271,420,286,GLENMARK,Balance_Sheet
Investments,,238,993,1041,1083,1294,1409,1660,1858,1867,3213,3269,GLENMARK,Balance_Sheet
Other Assets,,2124,1537,2076,1793,2143,2289,4466,6541,10267,9933,12174,GLENMARK,Balance_Sheet
Total Assets,,2567,2767,3374,3169,3886,4230,7651,10113,14001,15265,17143,GLENMARK,Balance_Sheet
Cash from Operating Activity,,94,983,421,195,253,114,145,355,878,1124,2490,GLENMARK,Cash_Flow
Cash from Investing Activity,,-589,-1000,-655,602,-119,211,-176,-1545,-2580,-1137,-2256,GLENMARK,Cash_Flow
Cash from Financing Activity,,496,10,259,-780,-14,-385,-32,1223,1879,-62,-155,GLENMARK,Cash_Flow
Net Cash Flow,,1,-7,26,16,120,-60,-64,32,177,-75,79,GLENMARK,Cash_Flow
Sales,,1241,1348,1546,2197,2761,3099,3307,3366,3618,3675,4337,GODREJAGRO,Income_Statement
Expenses,,1212,1319,1511,2079,2566,2858,3001,3074,3293,3336,4007,GODREJAGRO,Income_Statement
Operating Profit,,30,28,34,117,195,241,305,292,325,339,330,GODREJAGRO,Income_Statement
OPM %,,2%,2%,2%,5%,7%,8%,9%,9%,9%,9%,8%,GODREJAGRO,Income_Statement
Other Income,,76,18,18,21,11,15,50,54,72,28,58,GODREJAGRO,Income_Statement
Interest,,26,15,13,19,48,40,65,91,68,32,22,GODREJAGRO,Income_Statement
Depreciation,,7,6,8,13,19,27,37,44,49,53,59,GODREJAGRO,Income_Statement
Profit before tax,,72,25,30,106,139,189,253,211,281,281,307,GODREJAGRO,Income_Statement
Tax %,,19%,13%,2%,24%,30%,27%,24%,24%,26%,32%,32%,GODREJAGRO,Income_Statement
Net Profit,,58,22,30,81,97,138,193,160,208,191,208,GODREJAGRO,Income_Statement
EPS in Rs,,48.16,17.91,24.59,66.68,73.48,104.17,20.82,17.3,11.23,9.94,10.83,GODREJAGRO,Income_Statement
Dividend Payout %,,2%,11%,49%,42%,26%,26%,124%,26%,40%,45%,42%,GODREJAGRO,Income_Statement
Share Capital,,12,12,12,12,13,13,93,93,185,192,192,GODREJAGRO,Balance_Sheet
Reserves,,256,275,246,202,406,473,499,605,717,1097,1199,GODREJAGRO,Balance_Sheet
Borrowings,,233,98,161,145,475,620,685,1224,483,217,111,GODREJAGRO,Balance_Sheet
Other Liabilities,,164,278,364,561,330,438,418,462,1008,1060,1383,GODREJAGRO,Balance_Sheet
Total Liabilities,,665,663,784,919,1224,1544,1694,2383,2394,2565,2885,GODREJAGRO,Balance_Sheet
Fixed Assets,,67,75,99,192,314,453,531,682,700,690,834,GODREJAGRO,Balance_Sheet
CWIP,,4,8,8,110,125,149,138,37,30,114,63,GODREJAGRO,Balance_Sheet
Investments,,166,195,215,128,132,99,149,482,506,532,547,GODREJAGRO,Balance_Sheet
Other Assets,,427,385,460,489,653,843,875,1183,1158,1228,1441,GODREJAGRO,Balance_Sheet
Total Assets,,665,663,784,919,1224,1544,1694,2383,2394,2565,2885,GODREJAGRO,Balance_Sheet
Cash from Operating Activity,,-52,155,23,241,67,190,69,43,801,241,363,GODREJAGRO,Cash_Flow
Cash from Investing Activity,,69,-26,-51,-169,-171,-178,-132,-421,-50,-170,-129,GODREJAGRO,Cash_Flow
Cash from Financing Activity,,-16,-151,47,-96,106,80,-38,386,-734,-97,-232,GODREJAGRO,Cash_Flow
Net Cash Flow,,1,-22,20,-24,3,92,-101,8,18,-26,1,GODREJAGRO,Cash_Flow
Sales,,803,811,1108,1434,1460,1449,1450,1303,1500,1958,2144,GODREJIND,Income_Statement
Expenses,,871,819,1022,1260,1387,1352,1375,1210,1432,1722,1754,GODREJIND,Income_Statement
Operating Profit,,-68,-8,86,174,73,96,75,93,68,237,390,GODREJIND,Income_Statement
OPM %,,-8%,-1%,8%,12%,5%,7%,5%,7%,5%,12%,18%,GODREJIND,Income_Statement
Other Income,,171,177,142,125,112,148,234,160,47,301,-198,GODREJIND,Income_Statement
Interest,,61,60,63,71,65,95,148,200,208,212,240,GODREJIND,Income_Statement
Depreciation,,26,28,29,27,23,25,29,44,52,69,54,GODREJIND,Income_Statement
Profit before tax,,16,80,136,201,97,125,132,8,-145,257,-101,GODREJIND,Income_Statement
Tax %,,-14%,-1%,2%,0%,0%,4%,-13%,-314%,0%,6%,0%,GODREJIND,Income_Statement
Net Profit,,18,81,133,202,97,120,149,34,-145,242,-101,GODREJIND,Income_Statement
EPS in Rs,,0.56,,,,2.88,3.57,4.43,1.02,-4.32,7.18,-3.01,GODREJIND,Income_Statement
Dividend Payout %,,221%,59%,42%,28%,61%,48%,40%,172%,-40%,24%,-38%,GODREJIND,Income_Statement
Share Capital,,32,32,32,32,34,33,34,34,34,34,34,GODREJIND,Balance_Sheet
Reserves,,995,991,1058,1201,1591,1402,1625,1723,1582,1781,1609,GODREJIND,Balance_Sheet
Borrowings,,601,548,554,507,926,1416,2022,2658,2862,2704,3195,GODREJIND,Balance_Sheet
Other Liabilities,,244,312,586,879,581,790,590,297,400,465,475,GODREJIND,Balance_Sheet
Total Liabilities,,1872,1882,2230,2618,3131,3640,4271,4712,4877,4985,5313,GODREJIND,Balance_Sheet
Fixed Assets,,264,276,314,332,321,615,648,1172,1526,1494,1483,GODREJIND,Balance_Sheet
CWIP,,25,22,4,142,489,382,667,210,4,8,9,GODREJIND,Balance_Sheet
Investments,,1148,1148,1234,1354,1339,2048,2378,2623,2785,2828,2705,GODREJIND,Balance_Sheet
Other Assets,,435,436,678,791,981,596,578,707,562,655,1116,GODREJIND,Balance_Sheet
Total Assets,,1872,1882,2230,2618,3131,3640,4271,4712,4877,4985,5313,GODREJIND,Balance_Sheet
Cash from Operating Activity,,44,77,109,204,14,41,-124,-363,248,284,448,GODREJIND,Cash_Flow
Cash from Investing Activity,,-368,99,32,-4,-691,-240,-298,-1,-226,171,-214,GODREJIND,Cash_Flow
Cash from Financing Activity,,57,-190,-113,-184,652,230,456,251,-17,-406,218,GODREJIND,Cash_Flow
Net Cash Flow,,-266,-13,28,16,-26,31,34,-112,5,49,452,GODREJIND,Cash_Flow
Sales,,,,,,0,7797,9006,6106,5093,6174,7754,GUJGASLTD,Income_Statement
Expenses,,,,,,2,7216,7896,5367,4331,5261,6758,GUJGASLTD,Income_Statement
Operating Profit,,,,,,-2,581,1110,739,762,913,997,GUJGASLTD,Income_Statement
OPM %,,,,,,,7%,12%,12%,15%,15%,13%,GUJGASLTD,Income_Statement
Other Income,,,,,,2,107,104,10,17,28,93,GUJGASLTD,Income_Statement
Interest,,,,,,3,314,334,250,218,206,208,GUJGASLTD,Income_Statement
Depreciation,,,,,,0,283,238,245,257,272,288,GUJGASLTD,Income_Statement
Profit before tax,,,,,,-3,92,641,254,303,463,594,GUJGASLTD,Income_Statement
Tax %,,,,,,-22%,69%,31%,26%,28%,37%,30%,GUJGASLTD,Income_Statement
Net Profit,,,,,,-4,28,444,188,220,291,417,GUJGASLTD,Income_Statement
EPS in Rs,,,,,,-0.01,0.06,0.99,2.74,3.19,4.23,6.06,GUJGASLTD,Income_Statement
Dividend Payout %,,,,,,0%,436%,16%,18%,19%,19%,17%,GUJGASLTD,Income_Statement
Share Capital,,,,,,0,138,138,138,138,138,138,GUJGASLTD,Balance_Sheet
Reserves,,,,,,-4,1498,1853,1372,1507,1709,2046,GUJGASLTD,Balance_Sheet
Borrowings,,,,,,1500,3301,3226,2357,2359,2328,2213,GUJGASLTD,Balance_Sheet
Other Liabilities,,,,,,354,1717,1679,2184,2345,2459,2730,GUJGASLTD,Balance_Sheet
Total Liabilities,,,,,,1850,6654,6896,6050,6348,6633,7127,GUJGASLTD,Balance_Sheet
Fixed Assets,,,,,,0,4473,4487,4673,4903,5094,5290,GUJGASLTD,Balance_Sheet
CWIP,,,,,,0,270,357,468,506,478,489,GUJGASLTD,Balance_Sheet
Investments,,,,,,1848,841,1099,122,68,16,16,GUJGASLTD,Balance_Sheet
Other Assets,,,,,,3,1069,953,787,871,1045,1333,GUJGASLTD,Balance_Sheet
Total Assets,,,,,,1850,6654,6896,6050,6348,6633,7127,GUJGASLTD,Balance_Sheet
Cash from Operating Activity,,,,,,0,412,1094,637,701,785,964,GUJGASLTD,Cash_Flow
Cash from Investing Activity,,,,,,-1848,-1491,-365,375,-458,-430,-612,GUJGASLTD,Cash_Flow
Cash from Financing Activity,,,,,,1848,1097,-563,-1224,-255,-273,-349,GUJGASLTD,Cash_Flow
Net Cash Flow,,,,,,0,18,166,-212,-13,82,3,GUJGASLTD,Cash_Flow
Sales,,488,992,1047,1123,1173,1051,1065,992,1028,1332,1877,GSPL,Income_Statement
Expenses,,63,62,77,90,101,122,136,126,139,184,334,GSPL,Income_Statement
Operating Profit,,425,930,969,1034,1072,929,928,866,888,1148,1543,GSPL,Income_Statement
OPM %,,87%,94%,93%,92%,91%,88%,87%,87%,86%,86%,82%,GSPL,Income_Statement
Other Income,,24,27,22,47,66,55,39,66,88,73,59,GSPL,Income_Statement
Interest,,87,94,99,130,126,142,118,80,60,35,219,GSPL,Income_Statement
Depreciation,,170,236,130,182,186,184,189,183,179,175,180,GSPL,Income_Statement
Profit before tax,,191,627,762,769,826,658,660,669,738,1011,1203,GSPL,Income_Statement
Tax %,,36%,34%,34%,32%,35%,36%,38%,33%,33%,34%,34%,GSPL,Income_Statement
Net Profit,,123,414,506,522,538,419,410,445,497,668,795,GSPL,Income_Statement
EPS in Rs,,2.2,7.36,9,9.28,9.56,7.45,7.29,7.91,8.81,11.86,14.09,GSPL,Income_Statement
Dividend Payout %,,34%,14%,11%,11%,10%,13%,16%,19%,17%,15%,14%,GSPL,Income_Statement
Share Capital,,562,562,563,563,563,563,563,563,564,564,564,GSPL,Balance_Sheet
Reserves,,653,1001,1444,1904,2378,2732,3060,3506,3932,4501,5180,GSPL,Balance_Sheet
Borrowings,,1151,1260,1478,1396,1610,1429,1157,1067,631,3058,2366,GSPL,Balance_Sheet
Other Liabilities,,648,974,629,606,703,679,760,710,707,826,840,GSPL,Balance_Sheet
Total Liabilities,,3014,3797,4114,4469,5253,5403,5540,5846,5833,8949,8950,GSPL,Balance_Sheet
Fixed Assets,,1769,2437,3182,3140,3252,3159,3065,3123,3166,3114,3608,GSPL,Balance_Sheet
CWIP,,645,649,334,418,526,656,776,768,686,896,419,GSPL,Balance_Sheet
Investments,,36,67,77,116,174,585,649,731,766,4181,4277,GSPL,Balance_Sheet
Other Assets,,565,645,522,794,1302,1002,1050,1224,1216,757,646,GSPL,Balance_Sheet
Total Assets,,3014,3797,4114,4469,5253,5403,5540,5846,5833,8949,8950,GSPL,Balance_Sheet
Cash from Operating Activity,,204,886,598,794,693,645,627,603,944,894,1088,GSPL,Cash_Flow
Cash from Investing Activity,,-428,-762,-562,-418,-328,-646,-152,-321,-368,-3174,-8,GSPL,Cash_Flow
Cash from Financing Activity,,65,-48,30,-303,-1,-407,-474,-297,-637,2286,-1033,GSPL,Cash_Flow
Net Cash Flow,,-159,77,65,73,364,-408,1,-15,-61,7,48,GSPL,Cash_Flow
Sales,,1013,1141,1356,1604,2165,2494,2933,3445,4198,4287,4760,HATSUN,Income_Statement
Expenses,,952,1077,1261,1494,2017,2316,2735,3140,3820,3916,4312,HATSUN,Income_Statement
Operating Profit,,61,63,95,109,148,178,198,305,378,372,448,HATSUN,Income_Statement
OPM %,,6%,6%,7%,7%,7%,7%,7%,9%,9%,9%,9%,HATSUN,Income_Statement
Other Income,,2,3,2,3,4,9,6,5,7,8,-1,HATSUN,Income_Statement
Interest,,21,28,36,38,44,41,63,68,70,88,86,HATSUN,Income_Statement
Depreciation,,22,27,37,42,50,65,94,107,143,174,201,HATSUN,Income_Statement
Profit before tax,,20,12,23,32,57,81,47,134,172,119,161,HATSUN,Income_Statement
Tax %,,40%,77%,19%,17%,21%,0%,17%,55%,21%,23%,29%,HATSUN,Income_Statement
Net Profit,,12,3,19,27,45,82,39,60,135,91,115,HATSUN,Income_Statement
EPS in Rs,,,,,1.25,2.09,3.82,1.82,2.81,6.28,4.21,5.33,HATSUN,Income_Statement
Dividend Payout %,,17%,38%,21%,53%,41%,33%,50%,72%,45%,67%,56%,HATSUN,Income_Statement
Share Capital,,12,7,7,11,11,11,11,11,15,15,16,HATSUN,Balance_Sheet
Reserves,,45,47,86,97,119,169,211,220,333,350,789,HATSUN,Balance_Sheet
Borrowings,,230,314,297,341,402,494,614,672,919,1299,1028,HATSUN,Balance_Sheet
Other Liabilities,,78,98,96,120,155,171,220,255,320,367,413,HATSUN,Balance_Sheet
Total Liabilities,,360,466,486,568,687,844,1056,1157,1588,2032,2246,HATSUN,Balance_Sheet
Fixed Assets,,166,322,349,361,392,504,632,647,991,1217,1408,HATSUN,Balance_Sheet
CWIP,,128,33,10,8,45,106,23,33,90,259,233,HATSUN,Balance_Sheet
Investments,,0,0,0,0,1,1,1,0,0,0,0,HATSUN,Balance_Sheet
Other Assets,,65,111,127,199,250,233,399,477,506,556,605,HATSUN,Balance_Sheet
Total Assets,,360,466,486,568,687,844,1056,1157,1588,2032,2246,HATSUN,Balance_Sheet
Cash from Operating Activity,,56,43,74,52,143,201,62,219,433,277,375,HATSUN,Cash_Flow
Cash from Investing Activity,,-140,-85,-45,-47,-143,-212,-124,-134,-569,-523,-343,HATSUN,Cash_Flow
Cash from Financing Activity,,79,50,-34,-4,1,13,76,-79,162,223,-31,HATSUN,Cash_Flow
Net Cash Flow,,-6,8,-4,0,0,1,13,6,26,-23,1,HATSUN,Cash_Flow
Sales,,,,,14211,14328,,,16758,17950,18519,20008,HAL,Income_Statement
Expenses,,,,,12665,13551,,,14281,14714,15059,15440,HAL,Income_Statement
Operating Profit,,,,,1546,776,,,2478,3236,3460,4569,HAL,Income_Statement
OPM %,,,,,11%,5%,,,15%,18%,19%,23%,HAL,Income_Statement
Other Income,,,,,2510,3327,,,1598,1044,761,376,HAL,Income_Statement
Interest,,,,,6,5,,,6,16,35,177,HAL,Income_Statement
Depreciation,,,,,722,601,,,863,681,947,1024,HAL,Income_Statement
Profit before tax,,,,,3329,3497,,,3207,3583,3240,3742,HAL,Income_Statement
Tax %,,,,,24%,14%,,,38%,27%,39%,37%,HAL,Income_Statement
Net Profit,,,,,2539,2997,,,1998,2616,1987,2346,HAL,Income_Statement
EPS in Rs,,,,,210.74,248.71,,,55.27,72.35,59.43,70.16,HAL,Income_Statement
Dividend Payout %,,,,,29%,28%,,,31%,31%,54%,28%,HAL,Income_Statement
Share Capital,,,,,120,120,,,362,362,334,334,HAL,Balance_Sheet
Reserves,,,,,11218,13258,,,10658,12175,9151,11741,HAL,Balance_Sheet
Borrowings,,,,,5,5,,,80,1022,905,4157,HAL,Balance_Sheet
Other Liabilities,,,,,43961,44146,,,45420,38149,38044,35238,HAL,Balance_Sheet
Total Liabilities,,,,,55305,57529,,,56519,51708,48434,51470,HAL,Balance_Sheet
Fixed Assets,,,,,1938,2008,,,6925,7350,7566,7454,HAL,Balance_Sheet
CWIP,,,,,70,103,,,1025,1389,1458,1499,HAL,Balance_Sheet
Investments,,,,,527,707,,,886,981,989,902,HAL,Balance_Sheet
Other Assets,,,,,52769,54710,,,47682,41988,38421,41615,HAL,Balance_Sheet
Total Assets,,,,,55305,57529,,,56519,51708,48434,51470,HAL,Balance_Sheet
Cash from Operating Activity,,,,,,,,,,-423,-734,-7694,HAL,Cash_Flow
Cash from Investing Activity,,,,,,,,,,3021,594,5292,HAL,Cash_Flow
Cash from Financing Activity,,,,,,,,,,-164,-2540,2321,HAL,Cash_Flow
Net Cash Flow,,,,,,,,,,2433,-2680,-80,HAL,Cash_Flow
Sales,1001,1175,1355,1613,1661,1707,,2404,2188,2410,2690,3175,HONAUT,Income_Statement
Expenses,886,985,1210,1468,1538,1589,,2192,1967,2121,2319,2668,HONAUT,Income_Statement
Operating Profit,115,190,145,145,123,118,,212,221,289,371,506,HONAUT,Income_Statement
OPM %,11%,16%,11%,9%,7%,7%,,9%,10%,12%,14%,16%,HONAUT,Income_Statement
Other Income,12,5,7,16,11,19,,-17,24,37,29,71,HONAUT,Income_Statement
Interest,1,1,0,1,0,0,,0,3,3,4,6,HONAUT,Income_Statement
Depreciation,9,12,13,15,14,14,,17,15,16,15,16,HONAUT,Income_Statement
Profit before tax,118,182,139,146,119,123,,177,226,307,381,555,HONAUT,Income_Statement
Tax %,30%,27%,24%,26%,29%,30%,,36%,38%,45%,34%,35%,HONAUT,Income_Statement
Net Profit,82,133,105,107,85,86,,114,141,169,250,359,HONAUT,Income_Statement
EPS in Rs,92.57,150.19,118.81,121.18,96.33,97.45,,129.16,159.69,191.65,282.45,405.86,HONAUT,Income_Statement
Dividend Payout %,0%,7%,8%,8%,10%,10%,,10%,6%,5%,11%,11%,HONAUT,Income_Statement
Share Capital,9,9,9,9,9,9,,9,9,9,9,9,HONAUT,Balance_Sheet
Reserves,307,430,525,621,696,772,,873,1013,1171,1410,1739,HONAUT,Balance_Sheet
Borrowings,12,0,0,0,0,0,,0,0,0,0,0,HONAUT,Balance_Sheet
Other Liabilities,307,305,391,496,497,550,,601,740,771,1013,1143,HONAUT,Balance_Sheet
Total Liabilities,635,744,925,1126,1202,1331,,1483,1762,1951,2432,2891,HONAUT,Balance_Sheet
Fixed Assets,55,72,75,74,72,65,,85,84,79,84,85,HONAUT,Balance_Sheet
CWIP,15,4,1,3,0,3,,7,2,3,1,8,HONAUT,Balance_Sheet
Investments,0,0,0,0,0,0,,76,79,83,78,0,HONAUT,Balance_Sheet
Other Assets,565,668,849,1049,1130,1263,,1315,1597,1787,2269,2797,HONAUT,Balance_Sheet
Total Assets,635,744,925,1126,1202,1331,,1483,1762,1951,2432,2891,HONAUT,Balance_Sheet
Cash from Operating Activity,10,160,46,-18,-17,192,,13,166,215,263,312,HONAUT,Cash_Flow
Cash from Investing Activity,-32,-61,70,24,66,6,,-140,46,-85,-172,-443,HONAUT,Cash_Flow
Cash from Financing Activity,-12,-12,-11,-11,-11,-11,,-11,-13,-11,-11,-34,HONAUT,Cash_Flow
Net Cash Flow,-34,87,105,-6,38,186,,-138,199,119,80,-165,HONAUT,Cash_Flow
Sales,,1701,4596,2100,916,843,709,574,1252,1528,1475,1668,ITI,Income_Statement
Expenses,,2226,5286,2446,1212,1132,953,950,1427,1633,1394,1769,ITI,Income_Statement
Operating Profit,,-525,-690,-346,-296,-289,-244,-375,-176,-105,81,-100,ITI,Income_Statement
OPM %,,-31%,-15%,-16%,-32%,-34%,-34%,-65%,-14%,-7%,6%,-6%,ITI,Income_Statement
Other Income,,176,375,77,33,210,39,251,597,541,327,336,ITI,Income_Statement
Interest,,292,119,66,85,85,122,157,157,153,153,106,ITI,Income_Statement
Depreciation,,27,24,22,21,18,17,15,13,17,25,37,ITI,Income_Statement
Profit before tax,,-668,-459,-358,-370,-182,-344,-297,251,266,231,93,ITI,Income_Statement
Tax %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,ITI,Income_Statement
Net Profit,,-668,-459,-358,-370,-182,-344,-297,251,266,231,93,ITI,Income_Statement
EPS in Rs,,-23.2,-15.93,-12.42,-12.84,-6.32,-11.95,-10.32,8.72,4.76,3.03,1.03,ITI,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,ITI,Income_Statement
Share Capital,,588,588,588,588,588,588,588,588,560,760,897,ITI,Balance_Sheet
Reserves,,-592,1427,1219,825,584,231,-67,197,499,731,842,ITI,Balance_Sheet
Borrowings,,2144,278,343,485,608,876,1221,1139,1524,1226,1259,ITI,Balance_Sheet
Other Liabilities,,3881,6480,6211,5668,5561,3726,3933,4244,2965,4326,3998,ITI,Balance_Sheet
Total Liabilities,,5720,8474,8061,7267,7041,5121,5374,5868,5548,7044,6995,ITI,Balance_Sheet
Fixed Assets,,2639,2592,2548,2517,2486,2453,2423,2458,2506,2620,2695,ITI,Balance_Sheet
CWIP,,2,1,7,2,1,21,33,92,102,149,165,ITI,Balance_Sheet
Investments,,0,0,0,0,0,0,0,0,0,0,0,ITI,Balance_Sheet
Other Assets,,3079,5880,5506,4748,4554,2647,2917,3318,2939,4274,4135,ITI,Balance_Sheet
Total Assets,,5720,8474,8061,7267,7041,5121,5374,5868,5548,7044,6995,ITI,Balance_Sheet
Cash from Operating Activity,,271,-568,-374,-128,-179,-127,-149,-319,-347,-109,22,ITI,Cash_Flow
Cash from Investing Activity,,-13,12,-6,-1,-3,-19,-10,-104,-75,-96,-124,ITI,Cash_Flow
Cash from Financing Activity,,-254,835,177,57,178,161,398,273,468,364,-19,ITI,Cash_Flow
Net Cash Flow,,5,278,-204,-72,-4,15,239,-150,45,158,-121,ITI,Cash_Flow
Sales,,1620,1473,1673,1809,1876,1930,2024,2268,2402,2584,2780,INDHOTEL,Income_Statement
Expenses,,1140,1094,1271,1413,1472,1539,1677,1838,1946,1984,2080,INDHOTEL,Income_Statement
Operating Profit,,480,379,403,395,404,391,347,430,455,600,701,INDHOTEL,Income_Statement
OPM %,,30%,26%,24%,22%,22%,20%,17%,19%,19%,23%,25%,INDHOTEL,Income_Statement
Other Income,,97,119,86,96,-384,-691,-138,92,156,29,44,INDHOTEL,Income_Statement
Interest,,121,177,159,148,105,99,89,243,198,193,159,INDHOTEL,Income_Statement
Depreciation,,94,104,108,114,125,122,118,126,151,151,169,INDHOTEL,Income_Statement
Profit before tax,,361,217,221,230,-210,-521,2,153,262,284,418,INDHOTEL,Income_Statement
Tax %,,35%,30%,36%,37%,-32%,-13%,4463%,45%,45%,48%,37%,INDHOTEL,Income_Statement
Net Profit,,234,153,141,145,-277,-590,-82,84,143,148,264,INDHOTEL,Income_Statement
EPS in Rs,,2.7,1.76,1.55,1.59,-2.85,-6.09,-0.85,0.71,1.21,1.24,2.22,INDHOTEL,Income_Statement
Dividend Payout %,,37%,47%,54%,52%,-23%,0%,0%,35%,24%,32%,23%,INDHOTEL,Income_Statement
Share Capital,,72,72,76,76,81,81,81,99,99,119,119,INDHOTEL,Balance_Sheet
Reserves,,2975,2617,3029,3177,3227,2613,2534,2277,2668,4275,4365,INDHOTEL,Balance_Sheet
Borrowings,,1790,2672,2361,2679,2522,2691,3209,2158,2049,1784,1784,INDHOTEL,Balance_Sheet
Other Liabilities,,621,1098,1254,1432,1395,1382,1374,1434,1421,1526,1613,INDHOTEL,Balance_Sheet
Total Liabilities,,5458,6459,6720,7364,7225,6766,7198,5967,6237,7704,7881,INDHOTEL,Balance_Sheet
Fixed Assets,,1585,1561,1726,1839,1756,1697,2012,2142,2188,2398,2486,INDHOTEL,Balance_Sheet
CWIP,,215,370,336,230,309,432,142,56,108,65,34,INDHOTEL,Balance_Sheet
Investments,,2705,3458,3027,3622,3369,2762,2978,1955,3029,4161,4113,INDHOTEL,Balance_Sheet
Other Assets,,953,1069,1632,1673,1791,1875,2067,1815,912,1079,1248,INDHOTEL,Balance_Sheet
Total Assets,,5458,6459,6720,7364,7225,6766,7198,5967,6237,7704,7881,INDHOTEL,Balance_Sheet
Cash from Operating Activity,,293,451,466,449,332,368,401,469,458,481,547,INDHOTEL,Cash_Flow
Cash from Investing Activity,,-1106,-650,-762,-468,-234,-181,-419,311,-96,-1388,-372,INDHOTEL,Cash_Flow
Cash from Financing Activity,,1184,623,-61,-48,-86,-184,262,-1043,-369,1013,-207,INDHOTEL,Cash_Flow
Net Cash Flow,,371,424,-357,-67,12,3,244,-262,-6,106,-32,INDHOTEL,Cash_Flow
Sales,,,,,,,,1059,1367,1520,1466,1870,IRCTC,Income_Statement
Expenses,,,,,,,,907,1176,1206,1192,1487,IRCTC,Income_Statement
Operating Profit,,,,,,,,152,190,314,274,383,IRCTC,Income_Statement
OPM %,,,,,,,,14%,14%,21%,19%,20%,IRCTC,Income_Statement
Other Income,,,,,,,,82,139,67,99,126,IRCTC,Income_Statement
Interest,,,,,,,,0,0,3,3,2,IRCTC,Income_Statement
Depreciation,,,,,,,,20,21,22,24,29,IRCTC,Income_Statement
Profit before tax,,,,,,,,214,309,355,346,479,IRCTC,Income_Statement
Tax %,,,,,,,,39%,39%,35%,36%,36%,IRCTC,Income_Statement
Net Profit,,,,,,,,131,189,229,221,309,IRCTC,Income_Statement
EPS in Rs,,,,,,,,,,57.27,55.16,19.28,IRCTC,Income_Statement
Dividend Payout %,,,,,,,,20%,40%,49%,21%,98%,IRCTC,Income_Statement
Share Capital,,,,,,,,20,20,40,40,160,IRCTC,Balance_Sheet
Reserves,,,,,,,,424,522,747,915,911,IRCTC,Balance_Sheet
Borrowings,,,,,,,,0,0,0,0,0,IRCTC,Balance_Sheet
Other Liabilities,,,,,,,,718,895,1040,1365,1523,IRCTC,Balance_Sheet
Total Liabilities,,,,,,,,1162,1437,1826,2319,2594,IRCTC,Balance_Sheet
Fixed Assets,,,,,,,,155,159,170,190,182,IRCTC,Balance_Sheet
CWIP,,,,,,,,16,14,17,8,40,IRCTC,Balance_Sheet
Investments,,,,,,,,0,0,0,0,0,IRCTC,Balance_Sheet
Other Assets,,,,,,,,990,1264,1639,2122,2372,IRCTC,Balance_Sheet
Total Assets,,,,,,,,1162,1437,1826,2319,2594,IRCTC,Balance_Sheet
Cash from Operating Activity,,,,,,,,69,288,338,24,499,IRCTC,Cash_Flow
Cash from Investing Activity,,,,,,,,-46,7,94,40,-353,IRCTC,Cash_Flow
Cash from Financing Activity,,,,,,,,-17,-31,-136,-57,-179,IRCTC,Cash_Flow
Net Cash Flow,,,,,,,,6,263,296,7,-33,IRCTC,Cash_Flow
Sales,,1267,1548,1881,2329,2778,3235,3088,2804,3102,3193,3606,IPCALAB,Income_Statement
Expenses,,1102,1239,1458,1865,2218,2499,2556,2528,2668,2748,2910,IPCALAB,Income_Statement
Operating Profit,,166,309,423,464,561,736,531,276,435,445,696,IPCALAB,Income_Statement
OPM %,,13%,20%,22%,20%,20%,23%,17%,10%,14%,14%,19%,IPCALAB,Income_Statement
Other Income,,24,41,-2,12,19,21,33,28,21,40,55,IPCALAB,Income_Statement
Interest,,36,32,31,42,34,28,29,31,26,27,21,IPCALAB,Income_Statement
Depreciation,,39,46,55,65,84,101,177,161,171,174,172,IPCALAB,Income_Statement
Profit before tax,,114,272,334,369,461,629,358,111,258,283,557,IPCALAB,Income_Statement
Tax %,,20%,23%,23%,24%,28%,24%,28%,17%,27%,18%,18%,IPCALAB,Income_Statement
Net Profit,,91,209,255,280,331,477,256,93,188,233,455,IPCALAB,Income_Statement
